Frame,Car ID,Distance (m),Velocity (km/h),Timestamp (s)
1,0,11.32,0.0,1746835282.755
1,1,16.38,0.0,1746835282.755
1,2,21.41,0.0,1746835282.755
1,3,24.72,0.0,1746835282.755
1,5,41.03,0.0,1746835282.755
1,6,37.24,0.0,1746835282.755
1,7,38.4,0.0,1746835282.755
1,8,25.63,0.0,1746835282.755
1,9,31.2,0.0,1746835282.755
1,10,31.59,0.0,1746835282.755
2,0,16.25,-5.85,1746835285.787
2,1,11.34,5.98,1746835285.787
2,3,21.72,3.56,1746835285.787
2,4,23.22,0.0,1746835285.787
2,5,42.78,-2.08,1746835285.787
2,6,36.98,0.31,1746835285.787
2,7,24.22,16.84,1746835285.787
2,8,28.64,-3.57,1746835285.787
2,9,62.36,-37.0,1746835285.787
3,0,15.62,11.61,1746835285.982
3,1,11.34,0.06,1746835285.982
3,3,22.43,-13.02,1746835285.982
3,4,22.92,5.46,1746835285.982
3,5,37.47,97.9,1746835285.982
3,6,46.92,-183.39,1746835285.982
3,7,25.77,-28.58,1746835285.982
3,8,29.67,-19.03,1746835285.982
3,9,62.2,2.89,1746835285.982
4,0,10.99,92.44,1746835286.162
4,1,15.97,-92.44,1746835286.162
4,3,21.85,11.58,1746835286.162
4,4,24.3,-27.35,1746835286.162
4,5,38.15,-13.53,1746835286.162
4,6,45.54,27.47,1746835286.162
4,7,24.12,33.01,1746835286.162
4,8,29.79,-2.44,1746835286.162
4,9,25.82,725.86,1746835286.162
5,0,15.8,-92.61,1746835286.349
5,1,11.09,93.86,1746835286.349
5,3,23.8,-37.46,1746835286.349
5,4,46.6,-428.95,1746835286.349
5,5,34.42,71.79,1746835286.349
5,6,22.02,452.49,1746835286.349
5,7,22.7,27.15,1746835286.349
5,8,22.14,147.15,1746835286.349
5,9,30.13,-82.97,1746835286.349
5,10,28.35,3.24,1746835286.349
6,0,10.99,109.07,1746835286.508
6,1,15.41,-97.66,1746835286.508
6,2,23.73,-2.23,1746835286.508
6,4,22.56,544.08,1746835286.508
6,5,30.42,90.48,1746835286.508
6,6,44.2,-502.07,1746835286.508
6,7,23.6,-20.29,1746835286.508
6,8,35.55,-303.62,1746835286.508
6,9,28.42,38.66,1746835286.508
6,10,29.72,-31.07,1746835286.508
6,11,64.16,0.0,1746835286.508
7,0,10.97,0.39,1746835286.666
7,1,15.84,-9.96,1746835286.666
7,2,21.82,44.0,1746835286.666
7,3,31.79,-91.05,1746835286.666
7,5,23.69,154.36,1746835286.666
7,6,44.58,-8.78,1746835286.666
7,7,24.45,-19.51,1746835286.666
7,8,36.67,-25.67,1746835286.666
7,9,32.54,-94.42,1746835286.666
7,10,65.7,-824.54,1746835286.666
8,0,15.6,-109.38,1746835286.818
8,1,10.97,115.05,1746835286.818
8,2,22.92,-26.08,1746835286.818
8,4,47.01,-284.35,1746835286.818
8,5,22.29,33.01,1746835286.818
8,6,32.6,282.87,1746835286.818
8,7,36.85,-292.79,1746835286.818
8,8,24.85,279.23,1746835286.818
9,0,11.28,102.66,1746835286.97
9,1,15.41,-105.53,1746835286.97
9,2,22.75,3.98,1746835286.97
9,3,32.57,-9.17,1746835286.97
9,4,23.75,552.31,1746835286.97
9,5,25.36,-72.84,1746835286.97
9,6,46.5,-330.09,1746835286.97
9,7,37.0,-3.41,1746835286.97
10,0,11.12,3.81,1746835287.123
10,1,15.65,-5.6,1746835287.123
10,2,23.44,-16.06,1746835287.123
10,3,35.86,-77.02,1746835287.123
10,4,46.07,-522.21,1746835287.123
10,5,23.17,51.24,1746835287.123
10,6,23.97,527.2,1746835287.123
10,7,32.28,110.4,1746835287.123
10,8,22.46,28.12,1746835287.123
11,0,11.32,-4.7,1746835287.276
11,2,14.75,204.7,1746835287.276
11,3,23.6,288.67,1746835287.276
11,4,22.15,563.15,1746835287.276
11,5,40.96,-419.1,1746835287.276
11,6,33.29,-219.52,1746835287.276
11,7,34.53,-52.97,1746835287.276
11,8,24.38,-45.11,1746835287.276
12,0,11.37,-1.28,1746835287.424
12,1,15.46,2.31,1746835287.424
12,3,24.66,-25.76,1746835287.424
12,4,22.09,1.55,1746835287.424
12,5,23.79,417.47,1746835287.424
12,6,31.25,49.68,1746835287.424
12,7,36.1,-38.2,1746835287.424
12,8,45.21,-506.26,1746835287.424
13,0,11.32,1.26,1746835287.579
13,1,15.31,3.39,1746835287.579
13,3,22.04,61.25,1746835287.579
13,4,23.06,-22.6,1746835287.579
13,5,32.42,-201.5,1746835287.579
13,6,24.8,150.59,1746835287.579
13,7,44.44,-194.6,1746835287.579
13,8,34.7,245.23,1746835287.579
14,0,11.48,-3.9,1746835287.733
14,1,15.46,-3.37,1746835287.733
14,3,22.32,-6.59,1746835287.733
14,4,23.53,-10.94,1746835287.733
14,5,35.23,-65.35,1746835287.733
14,6,25.38,-13.47,1746835287.733
14,7,35.29,213.06,1746835287.733
14,8,48.03,-310.7,1746835287.733
15,0,11.81,-7.62,1746835287.888
15,1,16.31,-19.84,1746835287.888
15,3,22.84,-12.0,1746835287.888
15,4,24.21,-15.73,1746835287.888
15,5,28.3,160.74,1746835287.888
15,6,22.67,62.76,1746835287.888
15,7,35.05,5.62,1746835287.888
15,8,34.75,307.96,1746835287.888
15,9,46.73,-41.76,1746835287.888
15,10,33.04,96.12,1746835287.888
16,1,15.74,11.84,1746835288.062
16,2,11.67,14.1,1746835288.062
