Frame,Velocity (km/h),Timestamp (s)
20,1.94,1747091727.835
30,6.01,1747091728.272
40,2.55,1747091728.695
50,0.87,1747091729.124
60,0.33,1747091729.55
70,0.39,1747091729.968
80,0.48,1747091730.394
90,0.74,1747091730.819
100,0.31,1747091731.235
110,0.05,1747091731.658
120,0.11,1747091732.075
130,0.68,1747091732.503
140,1.08,1747091732.929
150,0.52,1747091733.363
160,1.6,1747091733.787
170,0.11,1747091734.209
180,3.65,1747091734.697
190,0.41,1747091735.125
200,1.26,1747091735.55
210,1.27,1747091735.98
220,1.56,1747091736.405
230,3.03,1747091736.832
240,5.21,1747091737.26
250,14.97,1747091737.708
260,19.44,1747091738.146
270,2.71,1747091738.579
280,3.09,1747091739.019
290,0.05,1747091739.449
300,0.11,1747091739.894
310,0.65,1747091740.318
320,0.5,1747091740.741
330,1.49,1747091741.202
340,1.34,1747091741.703
350,1.03,1747091742.166
360,3.11,1747091742.607
370,4.27,1747091743.052
380,0.35,1747091743.484
390,3.26,1747091743.923
400,1.55,1747091744.359
410,35.44,1747091744.798
420,36.64,1747091745.246
430,0.25,1747091745.682
440,1.75,1747091746.114
450,0.11,1747091746.552
460,1.76,1747091746.992
470,5.91,1747091747.429
480,1.64,1747091747.853
490,3.35,1747091748.281
500,3.49,1747091748.731
510,1.72,1747091749.165
520,2.55,1747091749.609
530,3.31,1747091750.044
540,1.69,1747091750.477
550,1.26,1747091750.899
560,0.95,1747091751.359
570,1.85,1747091751.784
580,0.71,1747091752.21
590,0.19,1747091752.632
600,0.36,1747091753.056
610,3.12,1747091753.486
620,1.73,1747091753.937
630,2.27,1747091754.379
640,30.57,1747091754.822
650,4.22,1747091755.257
660,7.28,1747091755.703
670,44.66,1747091756.139
680,0.96,1747091756.572
