Frame,Velocity (km/h),Timestamp (s)
2,6.34,1746835592.413
2,6.48,1746835592.413
2,3.85,1746835592.413
2,2.26,1746835592.413
2,18.24,1746835592.413
2,3.87,1746835592.413
2,40.08,1746835592.413
3,9.96,1746835592.64
3,11.17,1746835592.64
3,4.69,1746835592.64
3,84.02,1746835592.64
3,157.38,1746835592.64
3,24.53,1746835592.64
3,16.33,1746835592.64
3,2.48,1746835592.64
4,96.15,1746835592.814
4,96.15,1746835592.814
4,12.05,1746835592.814
4,28.44,1746835592.814
4,14.07,1746835592.814
4,28.58,1746835592.814
4,34.33,1746835592.814
4,2.54,1746835592.814
4,754.98,1746835592.814
5,97.51,1746835592.992
5,98.83,1746835592.992
5,39.44,1746835592.992
5,451.67,1746835592.992
5,75.59,1746835592.992
5,476.45,1746835592.992
5,28.59,1746835592.992
5,154.95,1746835592.992
5,87.37,1746835592.992
5,3.45,1746835592.992
6,108.69,1746835593.151
6,97.31,1746835593.151
6,2.37,1746835593.151
6,542.17,1746835593.151
6,90.16,1746835593.151
6,500.31,1746835593.151
6,20.22,1746835593.151
6,302.55,1746835593.151
6,38.52,1746835593.151
6,30.96,1746835593.151
7,10.04,1746835593.307
7,44.35,1746835593.307
7,91.25,1746835593.307
7,155.6,1746835593.307
7,8.85,1746835593.307
7,19.67,1746835593.307
7,25.88,1746835593.307
7,95.19,1746835593.307
7,831.2,1746835593.307
8,108.96,1746835593.46
8,114.61,1746835593.46
8,25.98,1746835593.46
8,284.96,1746835593.46
8,32.88,1746835593.46
8,281.77,1746835593.46
8,291.65,1746835593.46
8,278.15,1746835593.46
9,101.54,1746835593.613
9,104.38,1746835593.613
9,3.94,1746835593.613
9,9.1,1746835593.613
9,546.28,1746835593.613
9,72.05,1746835593.613
9,326.49,1746835593.613
9,3.38,1746835593.613
10,3.21,1746835593.796
10,4.71,1746835593.796
10,13.52,1746835593.796
10,64.83,1746835593.796
10,439.56,1746835593.796
10,43.13,1746835593.796
10,443.76,1746835593.796
10,92.92,1746835593.796
10,25.56,1746835593.796
11,4.41,1746835593.959
11,192.15,1746835593.959
11,270.97,1746835593.959
11,528.62,1746835593.959
11,393.41,1746835593.959
11,206.06,1746835593.959
11,49.72,1746835593.959
11,42.34,1746835593.959
12,1.21,1746835594.116
12,2.17,1746835594.116
12,24.25,1746835594.116
12,1.46,1746835594.116
12,392.94,1746835594.116
12,46.76,1746835594.116
12,35.96,1746835594.116
12,476.52,1746835594.116
13,1.25,1746835594.271
13,3.38,1746835594.271
13,61.11,1746835594.271
13,22.55,1746835594.271
13,201.03,1746835594.271
13,150.24,1746835594.271
13,194.15,1746835594.271
13,244.66,1746835594.271
14,3.85,1746835594.427
14,3.33,1746835594.427
14,6.51,1746835594.427
14,10.82,1746835594.427
14,64.59,1746835594.427
14,13.31,1746835594.427
14,210.58,1746835594.427
14,307.09,1746835594.427
15,7.98,1746835594.576
15,20.78,1746835594.576
15,12.56,1746835594.576
15,16.47,1746835594.576
15,168.3,1746835594.576
15,65.71,1746835594.576
15,5.88,1746835594.576
15,322.43,1746835594.576
15,40.26,1746835594.576
15,92.67,1746835594.576
16,13.4,1746835594.729
16,14.39,1746835594.729
16,17.54,1746835594.729
16,279.34,1746835594.729
16,134.47,1746835594.729
16,138.89,1746835594.729
16,236.72,1746835594.729
16,11.04,1746835594.729
16,49.6,1746835594.729
17,46.34,1746835594.883
17,2.39,1746835594.883
17,6.1,1746835594.883
17,318.21,1746835594.883
17,277.72,1746835594.883
17,151.19,1746835594.883
17,9.63,1746835594.883
17,237.28,1746835594.883
17,368.23,1746835594.883
17,30.28,1746835594.883
17,23.5,1746835594.883
18,5.39,1746835595.035
18,43.29,1746835595.035
18,21.43,1746835595.035
18,141.69,1746835595.035
18,281.01,1746835595.035
18,4.9,1746835595.035
18,16.49,1746835595.035
18,216.42,1746835595.035
18,339.66,1746835595.035
18,201.79,1746835595.035
18,135.5,1746835595.035
19,175.14,1746835595.186
19,91.79,1746835595.186
19,197.1,1746835595.186
19,161.4,1746835595.186
19,253.33,1746835595.186
19,281.47,1746835595.186
19,253.5,1746835595.186
19,231.79,1746835595.186
19,333.16,1746835595.186
19,66.0,1746835595.186
20,161.27,1746835595.347
20,353.0,1746835595.347
20,134.58,1746835595.347
20,277.66,1746835595.347
20,243.89,1746835595.347
20,109.43,1746835595.347
20,200.53,1746835595.347
20,358.93,1746835595.347
20,503.54,1746835595.347
20,274.9,1746835595.347
21,19.72,1746835595.504
21,40.04,1746835595.504
21,271.72,1746835595.504
21,365.44,1746835595.504
21,23.55,1746835595.504
21,58.74,1746835595.504
21,27.13,1746835595.504
21,148.75,1746835595.504
21,248.02,1746835595.504
22,9.26,1746835595.661
22,32.2,1746835595.661
22,160.51,1746835595.661
22,21.86,1746835595.661
22,4.97,1746835595.661
22,156.55,1746835595.661
22,21.63,1746835595.661
22,2.69,1746835595.661
22,100.06,1746835595.661
23,4.18,1746835595.812
23,71.71,1746835595.812
23,325.71,1746835595.812
23,33.57,1746835595.812
23,46.6,1746835595.812
23,243.01,1746835595.812
