Frame,Smoothed Velocity (km/h),Timestamp (s)
2,56.85,1746835810.601
3,27.95,1746835810.843
4,48.08,1746835810.995
5,2.17,1746835811.143
7,50.22,1746835811.49
8,55.95,1746835811.638
9,3.85,1746835811.78
10,55.55,1746835811.928
12,3.25,1746835812.208
14,1.38,1746835812.504
15,6.02,1746835812.647
16,53.44,1746835812.791
17,49.56,1746835812.934
18,2.53,1746835813.076
19,90.24,1746835813.22
20,2.16,1746835813.377
21,75.53,1746835813.523
22,5.62,1746835813.666
23,2.88,1746835813.811
25,2.43,1746835814.097
26,6.59,1746835814.241
27,201.76,1746835814.385
28,4.93,1746835814.53
29,203.45,1746835814.674
30,10.14,1746835814.826
31,208.86,1746835814.974
33,206.22,1746835815.269
34,3.42,1746835815.421
35,212.84,1746835815.564
36,4.02,1746835815.709
37,229.8,1746835815.854
38,4.32,1746835815.999
39,1.54,1746835816.15
40,180.62,1746835816.312
41,1.29,1746835816.454
42,204.77,1746835816.597
43,6.77,1746835816.742
44,189.62,1746835816.917
45,169.68,1746835817.064
46,14.48,1746835817.208
48,175.71,1746835817.519
49,37.8,1746835817.682
50,2.14,1746835817.85
51,26.35,1746835818.018
52,168.06,1746835818.163
53,11.03,1746835818.302
54,173.23,1746835818.471
55,174.94,1746835818.617
56,3.32,1746835818.762
57,2.0,1746835818.916
59,1.72,1746835819.228
60,184.98,1746835819.375
61,184.32,1746835819.532
62,14.19,1746835819.681
64,15.73,1746835819.962
65,8.8,1746835820.099
66,3.19,1746835820.249
67,13.24,1746835820.397
68,11.94,1746835820.535
69,2.97,1746835820.696
70,82.42,1746835820.866
71,176.27,1746835821.02
72,85.06,1746835821.172
73,148.26,1746835821.345
74,148.76,1746835821.502
75,3.32,1746835821.654
76,2.29,1746835821.814
77,3.53,1746835821.951
78,9.99,1746835822.104
79,14.02,1746835822.268
80,3.18,1746835822.409
81,3.47,1746835822.553
82,8.68,1746835822.705
83,12.29,1746835822.849
84,7.2,1746835822.995
85,2.61,1746835823.137
87,2.37,1746835823.43
88,1.98,1746835823.58
89,3.47,1746835823.724
91,1.96,1746835824.013
92,135.65,1746835824.15
93,140.83,1746835824.29
95,1.25,1746835824.579
96,1.81,1746835824.724
97,467.23,1746835824.861
98,2.3,1746835825.004
99,456.35,1746835825.147
101,116.01,1746835825.442
102,133.41,1746835825.588
103,14.18,1746835825.732
104,16.4,1746835825.876
105,16.65,1746835826.012
106,3.72,1746835826.155
108,6.58,1746835826.514
109,8.71,1746835826.656
110,121.52,1746835826.798
111,119.61,1746835826.941
114,104.33,1746835827.371
115,94.53,1746835827.518
116,8.33,1746835827.663
117,2.21,1746835827.803
118,3.03,1746835827.95
119,7.23,1746835828.095
120,3.71,1746835828.235
121,1.97,1746835828.372
122,2.76,1746835828.515
123,5.4,1746835828.661
124,86.76,1746835828.801
125,87.81,1746835828.939
126,1.55,1746835829.082
130,1.35,1746835829.655
134,2.01,1746835830.239
135,1.15,1746835830.386
140,1.25,1746835831.125
141,2.2,1746835831.27
142,41.8,1746835831.41
143,2.89,1746835831.557
144,9.44,1746835831.701
146,5.85,1746835831.99
147,1.73,1746835832.133
148,7.13,1746835832.279
151,2.71,1746835832.699
152,31.09,1746835832.846
153,20.72,1746835832.989
155,3.05,1746835833.346
156,12.17,1746835833.489
157,3.81,1746835833.64
158,5.51,1746835833.786
159,13.89,1746835833.93
160,11.88,1746835834.077
161,1.17,1746835834.225
162,3.72,1746835834.372
164,6.27,1746835834.662
165,1.5,1746835834.809
166,6.14,1746835834.953
167,1.39,1746835835.097
168,7.93,1746835835.239
169,13.99,1746835835.382
170,5.17,1746835835.521
171,4.26,1746835835.668
172,3.77,1746835835.816
173,1.64,1746835835.951
174,1.89,1746835836.093
175,3.81,1746835836.229
176,1.72,1746835836.398
177,3.13,1746835836.557
178,1.42,1746835836.695
180,7.18,1746835836.976
181,8.54,1746835837.116
182,4.73,1746835837.262
185,6.79,1746835837.691
186,12.48,1746835837.832
187,8.56,1746835837.97
188,2.03,1746835838.108
190,3.16,1746835838.389
191,5.13,1746835838.525
192,7.66,1746835838.662
193,3.38,1746835838.799
194,6.21,1746835838.939
195,2.66,1746835839.079
197,1.35,1746835839.354
198,1.89,1746835839.493
199,2.6,1746835839.632
200,3.84,1746835839.771
201,3.7,1746835839.912
202,2.21,1746835840.05
203,3.48,1746835840.191
204,91.68,1746835840.329
205,6.16,1746835840.467
206,101.48,1746835840.608
207,2.38,1746835840.746
208,2.54,1746835840.883
209,2.87,1746835841.022
210,3.39,1746835841.167
211,3.7,1746835841.305
212,2.96,1746835841.448
213,1.99,1746835841.591
214,2.35,1746835841.73
215,1.7,1746835841.868
216,2.94,1746835842.006
217,4.32,1746835842.144
218,2.63,1746835842.286
219,3.85,1746835842.424
220,4.59,1746835842.561
221,3.53,1746835842.698
222,3.79,1746835842.836
223,1.65,1746835842.977
224,1.95,1746835843.122
225,4.94,1746835843.262
226,4.03,1746835843.404
227,2.41,1746835843.548
228,2.65,1746835843.687
229,1.4,1746835843.851
231,3.74,1746835844.129
232,4.65,1746835844.27
233,2.51,1746835844.412
234,2.44,1746835844.55
235,2.96,1746835844.686
236,5.35,1746835844.826
237,3.16,1746835844.965
239,2.7,1746835845.246
240,3.07,1746835845.385
241,3.42,1746835845.522
242,3.6,1746835845.665
243,2.3,1746835845.802
244,2.63,1746835845.941
245,4.67,1746835846.081
246,3.88,1746835846.218
247,1.25,1746835846.359
249,1.15,1746835846.667
250,3.39,1746835846.806
251,4.93,1746835846.945
252,2.54,1746835847.095
254,1.74,1746835847.379
255,2.21,1746835847.522
256,1.27,1746835847.663
259,1.24,1746835848.109
260,1.76,1746835848.247
262,3.87,1746835848.533
263,2.61,1746835848.671
265,4.79,1746835848.955
266,247.95,1746835849.098
267,192.66,1746835849.243
268,52.71,1746835849.39
269,52.03,1746835849.53
270,55.65,1746835849.672
271,6.17,1746835849.812
272,2.52,1746835849.952
274,51.37,1746835850.229
275,3.96,1746835850.369
276,42.68,1746835850.509
277,6.82,1746835850.649
278,3.1,1746835850.788
279,5.38,1746835850.928
280,5.08,1746835851.068
281,9.27,1746835851.209
282,4.21,1746835851.353
283,3.76,1746835851.498
284,2.3,1746835851.636
285,4.04,1746835851.78
286,3.09,1746835851.92
288,2.89,1746835852.202
289,4.19,1746835852.339
290,1.86,1746835852.478
291,2.6,1746835852.622
294,3.71,1746835853.043
295,45.24,1746835853.181
296,43.21,1746835853.322
297,6.18,1746835853.46
298,7.32,1746835853.598
299,49.6,1746835853.741
300,47.1,1746835853.881
301,2.7,1746835854.025
302,2.61,1746835854.174
305,3.18,1746835854.593
306,46.61,1746835854.737
307,45.83,1746835854.876
308,4.63,1746835855.015
309,40.14,1746835855.157
311,38.01,1746835855.432
313,2.27,1746835855.71
314,2.22,1746835855.856
316,2.43,1746835856.136
317,53.28,1746835856.276
318,51.35,1746835856.45
320,5.48,1746835856.762
321,7.74,1746835856.898
323,4.62,1746835857.175
324,4.9,1746835857.314
327,4.88,1746835857.729
328,12.74,1746835857.883
329,13.29,1746835858.023
330,2.48,1746835858.164
331,7.09,1746835858.311
333,11.29,1746835858.585
334,12.4,1746835858.724
335,19.34,1746835858.869
336,12.92,1746835859.064
337,6.93,1746835859.204
338,1.38,1746835859.343
339,79.89,1746835859.483
340,88.4,1746835859.619
341,2.15,1746835859.761
342,89.81,1746835859.9
343,90.27,1746835860.042
344,3.32,1746835860.184
345,4.78,1746835860.325
347,1.55,1746835860.612
348,1.58,1746835860.758
349,1.51,1746835860.899
353,22.7,1746835861.474
354,24.4,1746835861.611
